"","Individual","land_used"
"588","M2212SGWDSW690",21
"589","M2212SGHMSW720",21
"590","M2212SGHXSH662",21
"591","M2212SGHXSH663",21
"592","M2212SGHJSH685",21
"593","M2212SGHXSH668",21
"594","M2212SGM035",21
"595","M2212SGBCSW697",21
"596","M2212SZXTSW738",51
"597","M2212SZWDSW737",51
"598","M2212SZHMSW723",51
"599","M2212SZHMSW728",51
"600","M2212SZHMSW729",51
"601","M2212SZHMSW727",51
"602","M2212SZBCSW721",51
"603","M2212SZHXSH751",51
"604","M2212SZHXSH750",51
"605","M2212SZHMSW726",51
"606","M2212SZHMSW724",51
"607","M2212SZHXSH749",51
"608","M2212SZHMSW725",51
"609","M2212SZHXSH741",51
"610","M2212SZHXSH744",51
"611","M2212SZHXSH745",51
"612","M2212SZHXSH742",51
"613","M2212SZHXSH746",51
"614","M2212SZHXSH747",51
"615","M2212SZHXSH748",51
"616","M2212SZHMSW730",51
"617","M2212SZHXSH753",51
"618","M2212SZHXSH743",51
"619","M2212SZHXSH752",51
"620","M2212SZHJSH755",51
"621","M2207ZJHMSH857",51
"622","M2212SZHJSH754",51
"623","M2212SZHJSH770",51
"624","M2212SZM095",51
"625","M2212SZHJSH759",51
"626","M2212SZHXSH739",51
"627","M2212SZHJSH762",51
"628","M2212SZHJSH765",51
"629","M2212SZHJSH758",51
"630","M2212SZHJSH757",51
"631","M2212SZHJSH764",51
"632","M2212SZHJSH763",51
"633","M2212SZHJSH768",51
"634","M2212SZHJSH756",51
"635","M2212SZHJSH767",51
"636","M2212SZHJSH761",51
"637","M2212SZHJSH766",51
"638","M2212SZHJSH760",51
"639","M2212SZHJSH769",51
"640","M2211APCQJH466",21
"641","M2211APCQJH465",21
"642","M2211APCQJH464",21
"643","M2211APCQJH467",21
"644","M2211APCQJH469",21
"645","M2212SZWDSW734",12
"646","M2212SZWDSW732",12
"647","M2212SZWDSW736",12
"648","M2212SZWDSW735",12
"649","M2212SZWDSW731",12
"650","M2212SZBCSW722",12
"651","M2209HYCQJH535",21
"652","M2209HYCQJH526",21
"653","M2209HYCQJH531",21
"654","M2209HYHXSH549",21
"655","M2209HYHXSH550",21
"656","M2209HYHJSH541",21
"657","M2209HYHJSH537",21
"658","M2209HYHJSH538",21
"659","M2209HYHJSH540",21
"660","M2209HYHXSH548",21
"661","M2209HYCQJW510",21
"662","M2209HYHJSH542",21
"663","M2209HYHMSH547",21
"664","M2209HYHMSW512",21
"665","M2209HYHXSH551",21
"666","M2209HYXTSW516",21
"667","M2209HYHXSH555",11
"668","M2209HYHXSH556",23
"669","M2209HYWDSW520",21
"670","M2209HYHXSH553",21
"671","M2209HYHXSH552",21
"672","M2209HYHJSH543",21
"673","M2209HYHMSW513",21
"674","M2209HYWDSW519",21
"675","M2209JYHXSH561",12
"676","M2209JYHXSH563",51
"677","M2209JYHJSH571",51
"678","M2209JYHXSH562",51
"679","M2209JYHJSH574",51
"680","M2209JYHJSH572",51
"681","M2209JYHJSH569",51
"682","M2209JYHJSH573",51
"683","M2209JYHXSH565",12
"684","M2209JYHXSH564",12
"685","M2209JYCQJH560",12
"686","M2209JYCQJH559",12
"687","M2209JYHJSH568",52
"688","M2209JYHJSH567",52
"689","M2209JYHJSH566",52
"690","M2209JYCQJH558",52
"691","M2209JYHJSH570",51
"692","M2209JYHJSH575",11
"693","M2209JYHJSH576",11
