"Individual","Collected_Time","Collected_Region","Hos_Taxo"
"M2210ZJBCSW421","2022-Autumn","ZJ","Bandicota indica"
"M2210ZJBCSW422","2022-Autumn","ZJ","Bandicota indica"
"M2210ZJBCSW423","2022-Autumn","ZJ","Bandicota indica"
"M2210ZJHJSH392","2022-Autumn","ZJ","Rattus norvegicus"
"M2210ZJHJSH393","2022-Autumn","ZJ","Rattus norvegicus"
"M2210ZJHJSH399","2022-Autumn","ZJ","Rattus norvegicus"
"M2210ZJHMSW412","2022-Autumn","ZJ","Rattus losea"
"M2210ZJHMSW416","2022-Autumn","ZJ","Rattus losea"
"M2210ZJHMSW417","2022-Autumn","ZJ","Rattus losea"
"M2210ZJHMSW418","2022-Autumn","ZJ","Rattus losea"
"M2210ZJHMSW425","2022-Autumn","ZJ","Rattus losea"
"M2210ZJHMSW426","2022-Autumn","ZJ","Rattus losea"
"M2210ZJHMSW427","2022-Autumn","ZJ","Rattus losea"
"M2210ZJHMSW428","2022-Autumn","ZJ","Rattus losea"
"M2210ZJHXSH405","2022-Autumn","ZJ","Rattus norvegicus"
"M2210ZJHXSH407","2022-Autumn","ZJ","Rattus tanezumi"
"M2210ZJHXSH408","2022-Autumn","ZJ","Rattus tanezumi"
"M2210ZJHXSH419","2022-Autumn","ZJ","Rattus tanezumi"
"M2210ZJQMSW424","2022-Autumn","ZJ","Berylmys sp."
"M2211APBCSW494","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW495","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW496","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW497","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW498","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW499","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW500","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW501","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW502","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW503","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW504","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW505","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW506","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW507","2022-Autumn","AP","Bandicota indica"
"M2211APBCSW508","2022-Autumn","AP","Bandicota indica"
"M2211APCQJH458","2022-Autumn","AP","Suncus murinus"
"M2211APCQJH459","2022-Autumn","AP","Suncus murinus"
"M2211APCQJH460","2022-Autumn","AP","Suncus murinus"
"M2211APCQJH461","2022-Autumn","AP","Suncus murinus"
