"","Library","Shannon","Richness","Type","Tissue"
"3801","M2212SZHJSH769C",0,0,"DNA virus","Gut"
"3802","M2212SZHJSH769C",0,0,"Bacteria","Gut"
"3803","M2212SZHJSH769C",0,0,"Eukaryote","Gut"
"3804","M2212SZHJSH769C",0.355226679485932,3,"RNA virus","Gut"
"3805","M2212SZHJSH769F",0,0,"DNA virus","Lung"
"3806","M2212SZHJSH769F",0,0,"Bacteria","Lung"
"3807","M2212SZHJSH769F",0,0,"RNA virus","Lung"
"3808","M2212SZHJSH769F",0,1,"Eukaryote","Lung"
"3809","M2212SZHJSH769PX100",0,1,"Eukaryote","Spleen"
"3810","M2212SZHJSH769PX100",0,0,"Bacteria","Spleen"
"3811","M2212SZHJSH769PX100",0,1,"RNA virus","Spleen"
"3812","M2212SZHJSH769PX100",0,1,"DNA virus","Spleen"
"3813","M2212SZHJSH770F",0,0,"Eukaryote","Lung"
"3814","M2212SZHJSH770F",0,1,"DNA virus","Lung"
"3815","M2212SZHJSH770F",0,0,"Bacteria","Lung"
"3816","M2212SZHJSH770F",0,0,"RNA virus","Lung"
"3817","M2212SZHJSH770PNX100",0,0,"Eukaryote","Spleen"
"3818","M2212SZHJSH770PNX100",0,0,"RNA virus","Spleen"
"3819","M2212SZHJSH770PNX100",0,0,"DNA virus","Spleen"
"3820","M2212SZHJSH770PNX100",0,0,"Bacteria","Spleen"
"3821","M2212SZHJSH852F",0,0,"Eukaryote","Lung"
"3822","M2212SZHJSH852F",0,0,"Bacteria","Lung"
"3823","M2212SZHJSH852F",0,0,"RNA virus","Lung"
"3824","M2212SZHJSH852F",0,1,"DNA virus","Lung"
"3825","M2212SZHJSH852PX100",0,1,"RNA virus","Spleen"
"3826","M2212SZHJSH852PX100",0,0,"Eukaryote","Spleen"
"3827","M2212SZHJSH852PX100",0,1,"Bacteria","Spleen"
"3828","M2212SZHJSH852PX100",0,0,"DNA virus","Spleen"
"3829","M2212SZHMSW724CX100",0,1,"Eukaryote","Gut"
"3830","M2212SZHMSW724CX100",0,0,"DNA virus","Gut"
"3831","M2212SZHMSW724CX100",0,0,"RNA virus","Gut"
"3832","M2212SZHMSW724CX100",0,0,"Bacteria","Gut"
"3833","M2212SZHMSW725CX100",0,1,"Eukaryote","Gut"
"3834","M2212SZHMSW725CX100",0,0,"DNA virus","Gut"
"3835","M2212SZHMSW725CX100",0,0,"Bacteria","Gut"
"3836","M2212SZHMSW725CX100",0,0,"RNA virus","Gut"
"3837","M2212SZHMSW726CN",0,0,"Bacteria","Gut"
"3838","M2212SZHMSW726CN",0,1,"Eukaryote","Gut"
"3839","M2212SZHMSW726CN",0,1,"RNA virus","Gut"
"3840","M2212SZHMSW726CN",0,0,"DNA virus","Gut"
"3841","M2212SZHMSW726PNX100",0,0,"Bacteria","Spleen"
"3842","M2212SZHMSW726PNX100",0,1,"RNA virus","Spleen"
"3843","M2212SZHMSW726PNX100",0,0,"Eukaryote","Spleen"
"3844","M2212SZHMSW726PNX100",0,1,"DNA virus","Spleen"
"3845","M2212SZHMSW727CX100",0,1,"Eukaryote","Gut"
"3846","M2212SZHMSW727CX100",0,0,"Bacteria","Gut"
"3847","M2212SZHMSW727CX100",0,0,"DNA virus","Gut"
"3848","M2212SZHMSW727CX100",0,0,"RNA virus","Gut"
"3849","M2212SZHMSW728CNX100",0,1,"Eukaryote","Gut"
"3850","M2212SZHMSW728CNX100",0,0,"DNA virus","Gut"
"3851","M2212SZHMSW728CNX100",0,0,"Bacteria","Gut"
"3852","M2212SZHMSW728CNX100",0,0,"RNA virus","Gut"
"3853","M2212SZHMSW730CX100",0,0,"DNA virus","Gut"
"3854","M2212SZHMSW730CX100",0,0,"Eukaryote","Gut"
"3855","M2212SZHMSW730CX100",0,1,"Bacteria","Gut"
"3856","M2212SZHMSW730CX100",0,0,"RNA virus","Gut"
"3857","M2212SZHXSH739PX100",0,0,"DNA virus","Spleen"
"3858","M2212SZHXSH739PX100",0,0,"Eukaryote","Spleen"
"3859","M2212SZHXSH739PX100",0,0,"Bacteria","Spleen"
"3860","M2212SZHXSH739PX100",0,1,"RNA virus","Spleen"
"3861","M2212SZHXSH740CNX100",0,0,"DNA virus","Gut"
"3862","M2212SZHXSH740CNX100",0,1,"RNA virus","Gut"
"3863","M2212SZHXSH740CNX100",0,0,"Eukaryote","Gut"
"3864","M2212SZHXSH740CNX100",0,0,"Bacteria","Gut"
"3865","M2212SZHXSH741CX100",0,1,"RNA virus","Gut"
"3866","M2212SZHXSH741CX100",0,1,"Eukaryote","Gut"
"3867","M2212SZHXSH741CX100",0,0,"DNA virus","Gut"
"3868","M2212SZHXSH741CX100",0,0,"Bacteria","Gut"
"3869","M2212SZHXSH741FX100",0,0,"RNA virus","Lung"
"3870","M2212SZHXSH741FX100",0,1,"Eukaryote","Lung"
"3871","M2212SZHXSH741FX100",0,0,"DNA virus","Lung"
"3872","M2212SZHXSH741FX100",0,0,"Bacteria","Lung"
"3873","M2212SZHXSH742P",0,0,"Eukaryote","Spleen"
"3874","M2212SZHXSH742P",0,0,"DNA virus","Spleen"
"3875","M2212SZHXSH742P",0,0,"RNA virus","Spleen"
"3876","M2212SZHXSH742P",0,0,"Bacteria","Spleen"
"3877","M2212SZHXSH743CX100",0,0,"Eukaryote","Gut"
"3878","M2212SZHXSH743CX100",0,0,"RNA virus","Gut"
"3879","M2212SZHXSH743CX100",0,1,"DNA virus","Gut"
"3880","M2212SZHXSH743CX100",0,0,"Bacteria","Gut"
"3881","M2212SZHXSH743PX100",0,0,"DNA virus","Spleen"
"3882","M2212SZHXSH743PX100",0,1,"RNA virus","Spleen"
"3883","M2212SZHXSH743PX100",0,0,"Eukaryote","Spleen"
"3884","M2212SZHXSH743PX100",0,0,"Bacteria","Spleen"
"3885","M2212SZHXSH744CBN",0,0,"Eukaryote","Gut"
"3886","M2212SZHXSH744CBN",0,0,"DNA virus","Gut"
"3887","M2212SZHXSH744CBN",0,1,"RNA virus","Gut"
"3888","M2212SZHXSH744CBN",0,1,"Bacteria","Gut"
"3889","M2212SZHXSH745CX100",0,1,"Bacteria","Gut"
